instance=26,n=50,m=20,d=3,type=B1
BinType:1, cost=601
    no=1, value=206
    no=2, value=177
    no=3, value=218
BinType:2, cost=759
    no=1, value=226
    no=2, value=255
    no=3, value=278
BinType:3, cost=792
    no=1, value=251
    no=2, value=371
    no=3, value=170
BinType:4, cost=804
    no=1, value=247
    no=2, value=151
    no=3, value=406
BinType:5, cost=806
    no=1, value=335
    no=2, value=133
    no=3, value=338
BinType:6, cost=810
    no=1, value=468
    no=2, value=152
    no=3, value=190
BinType:7, cost=820
    no=1, value=367
    no=2, value=197
    no=3, value=256
BinType:8, cost=843
    no=1, value=146
    no=2, value=467
    no=3, value=230
BinType:9, cost=852
    no=1, value=368
    no=2, value=275
    no=3, value=209
BinType:10, cost=884
    no=1, value=182
    no=2, value=494
    no=3, value=208
BinType:11, cost=895
    no=1, value=317
    no=2, value=457
    no=3, value=121
BinType:12, cost=922
    no=1, value=390
    no=2, value=135
    no=3, value=397
BinType:13, cost=940
    no=1, value=495
    no=2, value=238
    no=3, value=207
BinType:14, cost=1007
    no=1, value=309
    no=2, value=278
    no=3, value=420
BinType:15, cost=1028
    no=1, value=488
    no=2, value=189
    no=3, value=351
BinType:16, cost=1029
    no=1, value=305
    no=2, value=415
    no=3, value=309
BinType:17, cost=1059
    no=1, value=431
    no=2, value=438
    no=3, value=190
BinType:18, cost=1104
    no=1, value=295
    no=2, value=408
    no=3, value=401
BinType:19, cost=1105
    no=1, value=396
    no=2, value=303
    no=3, value=406
BinType:20, cost=1396
    no=1, value=468
    no=2, value=436
    no=3, value=492
Item: no=1
   no=1, value=72
   no=2, value=18
   no=3, value=42
Item: no=2
   no=1, value=22
   no=2, value=15
   no=3, value=93
Item: no=3
   no=1, value=49
   no=2, value=46
   no=3, value=20
Item: no=4
   no=1, value=5
   no=2, value=20
   no=3, value=6
Item: no=5
   no=1, value=43
   no=2, value=71
   no=3, value=22
Item: no=6
   no=1, value=86
   no=2, value=75
   no=3, value=9
Item: no=7
   no=1, value=96
   no=2, value=30
   no=3, value=97
Item: no=8
   no=1, value=45
   no=2, value=29
   no=3, value=27
Item: no=9
   no=1, value=15
   no=2, value=4
   no=3, value=60
Item: no=10
   no=1, value=56
   no=2, value=13
   no=3, value=45
Item: no=11
   no=1, value=66
   no=2, value=29
   no=3, value=66
Item: no=12
   no=1, value=68
   no=2, value=98
   no=3, value=59
Item: no=13
   no=1, value=68
   no=2, value=91
   no=3, value=36
Item: no=14
   no=1, value=55
   no=2, value=3
   no=3, value=94
Item: no=15
   no=1, value=99
   no=2, value=14
   no=3, value=52
Item: no=16
   no=1, value=40
   no=2, value=56
   no=3, value=35
Item: no=17
   no=1, value=93
   no=2, value=81
   no=3, value=34
Item: no=18
   no=1, value=89
   no=2, value=7
   no=3, value=67
Item: no=19
   no=1, value=88
   no=2, value=70
   no=3, value=91
Item: no=20
   no=1, value=33
   no=2, value=45
   no=3, value=95
Item: no=21
   no=1, value=89
   no=2, value=44
   no=3, value=19
Item: no=22
   no=1, value=46
   no=2, value=6
   no=3, value=14
Item: no=23
   no=1, value=46
   no=2, value=90
   no=3, value=60
Item: no=24
   no=1, value=88
   no=2, value=40
   no=3, value=45
Item: no=25
   no=1, value=58
   no=2, value=26
   no=3, value=75
Item: no=26
   no=1, value=9
   no=2, value=86
   no=3, value=46
Item: no=27
   no=1, value=19
   no=2, value=58
   no=3, value=31
Item: no=28
   no=1, value=79
   no=2, value=14
   no=3, value=54
Item: no=29
   no=1, value=60
   no=2, value=19
   no=3, value=16
Item: no=30
   no=1, value=22
   no=2, value=38
   no=3, value=35
Item: no=31
   no=1, value=75
   no=2, value=90
   no=3, value=74
Item: no=32
   no=1, value=6
   no=2, value=84
   no=3, value=41
Item: no=33
   no=1, value=71
   no=2, value=74
   no=3, value=51
Item: no=34
   no=1, value=39
   no=2, value=2
   no=3, value=24
Item: no=35
   no=1, value=86
   no=2, value=31
   no=3, value=63
Item: no=36
   no=1, value=46
   no=2, value=10
   no=3, value=85
Item: no=37
   no=1, value=38
   no=2, value=56
   no=3, value=88
Item: no=38
   no=1, value=7
   no=2, value=71
   no=3, value=92
Item: no=39
   no=1, value=10
   no=2, value=14
   no=3, value=90
Item: no=40
   no=1, value=84
   no=2, value=5
   no=3, value=96
Item: no=41
   no=1, value=91
   no=2, value=91
   no=3, value=11
Item: no=42
   no=1, value=11
   no=2, value=75
   no=3, value=30
Item: no=43
   no=1, value=55
   no=2, value=8
   no=3, value=33
Item: no=44
   no=1, value=54
   no=2, value=61
   no=3, value=31
Item: no=45
   no=1, value=70
   no=2, value=56
   no=3, value=34
Item: no=46
   no=1, value=17
   no=2, value=50
   no=3, value=84
Item: no=47
   no=1, value=16
   no=2, value=16
   no=3, value=5
Item: no=48
   no=1, value=62
   no=2, value=69
   no=3, value=83
Item: no=49
   no=1, value=87
   no=2, value=42
   no=3, value=8
Item: no=50
   no=1, value=30
   no=2, value=97
   no=3, value=6
//////////////////////////////////////////////////
Links between items
Link 1: itemNo1=1, itemNo2=3, cost=22
Link 2: itemNo1=1, itemNo2=11, cost=24
Link 3: itemNo1=1, itemNo2=23, cost=93
Link 4: itemNo1=1, itemNo2=26, cost=70
Link 5: itemNo1=1, itemNo2=27, cost=94
Link 6: itemNo1=1, itemNo2=28, cost=94
Link 7: itemNo1=1, itemNo2=31, cost=41
Link 8: itemNo1=1, itemNo2=35, cost=69
Link 9: itemNo1=1, itemNo2=39, cost=75
Link 10: itemNo1=1, itemNo2=40, cost=69
Link 11: itemNo1=1, itemNo2=44, cost=45
Link 12: itemNo1=2, itemNo2=3, cost=91
Link 13: itemNo1=2, itemNo2=9, cost=15
Link 14: itemNo1=2, itemNo2=20, cost=11
Link 15: itemNo1=2, itemNo2=23, cost=53
Link 16: itemNo1=2, itemNo2=28, cost=6
Link 17: itemNo1=2, itemNo2=34, cost=99
Link 18: itemNo1=2, itemNo2=35, cost=73
Link 19: itemNo1=2, itemNo2=48, cost=50
Link 20: itemNo1=2, itemNo2=50, cost=2
Link 21: itemNo1=3, itemNo2=8, cost=9
Link 22: itemNo1=3, itemNo2=11, cost=95
Link 23: itemNo1=3, itemNo2=12, cost=27
Link 24: itemNo1=3, itemNo2=16, cost=86
Link 25: itemNo1=3, itemNo2=21, cost=6
Link 26: itemNo1=3, itemNo2=27, cost=27
Link 27: itemNo1=3, itemNo2=30, cost=53
Link 28: itemNo1=3, itemNo2=32, cost=86
Link 29: itemNo1=3, itemNo2=38, cost=46
Link 30: itemNo1=3, itemNo2=39, cost=17
Link 31: itemNo1=3, itemNo2=41, cost=65
Link 32: itemNo1=4, itemNo2=1, cost=42
Link 33: itemNo1=4, itemNo2=6, cost=14
Link 34: itemNo1=4, itemNo2=7, cost=40
Link 35: itemNo1=4, itemNo2=14, cost=30
Link 36: itemNo1=4, itemNo2=18, cost=94
Link 37: itemNo1=4, itemNo2=20, cost=48
Link 38: itemNo1=4, itemNo2=28, cost=57
Link 39: itemNo1=4, itemNo2=31, cost=62
Link 40: itemNo1=4, itemNo2=36, cost=13
Link 41: itemNo1=4, itemNo2=45, cost=32
Link 42: itemNo1=4, itemNo2=49, cost=52
Link 43: itemNo1=5, itemNo2=1, cost=89
Link 44: itemNo1=5, itemNo2=11, cost=15
Link 45: itemNo1=5, itemNo2=13, cost=57
Link 46: itemNo1=5, itemNo2=15, cost=35
Link 47: itemNo1=5, itemNo2=28, cost=3
Link 48: itemNo1=5, itemNo2=29, cost=70
Link 49: itemNo1=5, itemNo2=36, cost=19
Link 50: itemNo1=5, itemNo2=40, cost=72
