instance=20,n=25,m=20,d=3,type=B4
BinType:1, cost=660
    no=1, value=206
    no=2, value=177
    no=3, value=218
BinType:2, cost=663
    no=1, value=317
    no=2, value=457
    no=3, value=121
BinType:3, cost=664
    no=1, value=251
    no=2, value=371
    no=3, value=170
BinType:4, cost=703
    no=1, value=182
    no=2, value=494
    no=3, value=208
BinType:5, cost=710
    no=1, value=146
    no=2, value=467
    no=3, value=230
BinType:6, cost=835
    no=1, value=368
    no=2, value=275
    no=3, value=209
BinType:7, cost=848
    no=1, value=226
    no=2, value=255
    no=3, value=278
BinType:8, cost=852
    no=1, value=468
    no=2, value=152
    no=3, value=190
BinType:9, cost=901
    no=1, value=431
    no=2, value=438
    no=3, value=190
BinType:10, cost=916
    no=1, value=367
    no=2, value=197
    no=3, value=256
BinType:11, cost=946
    no=1, value=495
    no=2, value=238
    no=3, value=207
BinType:12, cost=1051
    no=1, value=305
    no=2, value=415
    no=3, value=309
BinType:13, cost=1071
    no=1, value=335
    no=2, value=133
    no=3, value=338
BinType:14, cost=1187
    no=1, value=247
    no=2, value=151
    no=3, value=406
BinType:15, cost=1282
    no=1, value=488
    no=2, value=189
    no=3, value=351
BinType:16, cost=1297
    no=1, value=390
    no=2, value=135
    no=3, value=397
BinType:17, cost=1299
    no=1, value=295
    no=2, value=408
    no=3, value=401
BinType:18, cost=1335
    no=1, value=309
    no=2, value=278
    no=3, value=420
BinType:19, cost=1388
    no=1, value=396
    no=2, value=303
    no=3, value=406
BinType:20, cost=1767
    no=1, value=468
    no=2, value=436
    no=3, value=492
Item: no=1
   no=1, value=72
   no=2, value=18
   no=3, value=42
Item: no=2
   no=1, value=22
   no=2, value=15
   no=3, value=93
Item: no=3
   no=1, value=49
   no=2, value=46
   no=3, value=20
Item: no=4
   no=1, value=5
   no=2, value=20
   no=3, value=6
Item: no=5
   no=1, value=43
   no=2, value=71
   no=3, value=22
Item: no=6
   no=1, value=86
   no=2, value=75
   no=3, value=9
Item: no=7
   no=1, value=96
   no=2, value=30
   no=3, value=97
Item: no=8
   no=1, value=45
   no=2, value=29
   no=3, value=27
Item: no=9
   no=1, value=15
   no=2, value=4
   no=3, value=60
Item: no=10
   no=1, value=56
   no=2, value=13
   no=3, value=45
Item: no=11
   no=1, value=66
   no=2, value=29
   no=3, value=66
Item: no=12
   no=1, value=68
   no=2, value=98
   no=3, value=59
Item: no=13
   no=1, value=68
   no=2, value=91
   no=3, value=36
Item: no=14
   no=1, value=55
   no=2, value=3
   no=3, value=94
Item: no=15
   no=1, value=99
   no=2, value=14
   no=3, value=52
Item: no=16
   no=1, value=40
   no=2, value=56
   no=3, value=35
Item: no=17
   no=1, value=93
   no=2, value=81
   no=3, value=34
Item: no=18
   no=1, value=89
   no=2, value=7
   no=3, value=67
Item: no=19
   no=1, value=88
   no=2, value=70
   no=3, value=91
Item: no=20
   no=1, value=33
   no=2, value=45
   no=3, value=95
Item: no=21
   no=1, value=89
   no=2, value=44
   no=3, value=19
Item: no=22
   no=1, value=46
   no=2, value=6
   no=3, value=14
Item: no=23
   no=1, value=46
   no=2, value=90
   no=3, value=60
Item: no=24
   no=1, value=88
   no=2, value=40
   no=3, value=45
Item: no=25
   no=1, value=58
   no=2, value=26
   no=3, value=75
//////////////////////////////////////////////////
Links between items
Link 1: itemNo1=1, itemNo2=3, cost=22
Link 2: itemNo1=1, itemNo2=11, cost=24
Link 3: itemNo1=1, itemNo2=23, cost=93
Link 4: itemNo1=2, itemNo2=3, cost=91
Link 5: itemNo1=2, itemNo2=9, cost=15
Link 6: itemNo1=2, itemNo2=20, cost=11
Link 7: itemNo1=2, itemNo2=23, cost=53
Link 8: itemNo1=3, itemNo2=8, cost=9
Link 9: itemNo1=3, itemNo2=11, cost=95
Link 10: itemNo1=3, itemNo2=12, cost=27
Link 11: itemNo1=3, itemNo2=16, cost=86
Link 12: itemNo1=3, itemNo2=21, cost=6
Link 13: itemNo1=4, itemNo2=1, cost=42
Link 14: itemNo1=4, itemNo2=6, cost=14
Link 15: itemNo1=4, itemNo2=7, cost=40
Link 16: itemNo1=4, itemNo2=14, cost=30
Link 17: itemNo1=4, itemNo2=18, cost=94
Link 18: itemNo1=4, itemNo2=20, cost=48
Link 19: itemNo1=5, itemNo2=1, cost=89
Link 20: itemNo1=5, itemNo2=11, cost=15
Link 21: itemNo1=5, itemNo2=13, cost=57
Link 22: itemNo1=5, itemNo2=15, cost=35
Link 23: itemNo1=6, itemNo2=7, cost=61
Link 24: itemNo1=6, itemNo2=16, cost=4
Link 25: itemNo1=6, itemNo2=25, cost=3
Link 26: itemNo1=7, itemNo2=9, cost=86
Link 27: itemNo1=7, itemNo2=11, cost=69
Link 28: itemNo1=7, itemNo2=19, cost=38
Link 29: itemNo1=7, itemNo2=20, cost=78
Link 30: itemNo1=7, itemNo2=22, cost=10
Link 31: itemNo1=8, itemNo2=2, cost=78
Link 32: itemNo1=8, itemNo2=3, cost=51
Link 33: itemNo1=8, itemNo2=4, cost=72
Link 34: itemNo1=8, itemNo2=7, cost=45
Link 35: itemNo1=8, itemNo2=11, cost=50
Link 36: itemNo1=8, itemNo2=13, cost=60
Link 37: itemNo1=8, itemNo2=19, cost=54
Link 38: itemNo1=8, itemNo2=21, cost=62
Link 39: itemNo1=8, itemNo2=23, cost=59
Link 40: itemNo1=9, itemNo2=8, cost=48
Link 41: itemNo1=9, itemNo2=16, cost=41
Link 42: itemNo1=9, itemNo2=18, cost=83
Link 43: itemNo1=10, itemNo2=2, cost=21
Link 44: itemNo1=10, itemNo2=4, cost=49
Link 45: itemNo1=10, itemNo2=9, cost=43
Link 46: itemNo1=10, itemNo2=13, cost=38
Link 47: itemNo1=10, itemNo2=15, cost=26
Link 48: itemNo1=10, itemNo2=17, cost=38
Link 49: itemNo1=10, itemNo2=18, cost=2
Link 50: itemNo1=10, itemNo2=22, cost=73
Link 51: itemNo1=10, itemNo2=25, cost=42
Link 52: itemNo1=11, itemNo2=10, cost=68
Link 53: itemNo1=11, itemNo2=18, cost=58
Link 54: itemNo1=11, itemNo2=25, cost=80
Link 55: itemNo1=12, itemNo2=3, cost=1
Link 56: itemNo1=12, itemNo2=6, cost=86
Link 57: itemNo1=13, itemNo2=5, cost=30
Link 58: itemNo1=13, itemNo2=16, cost=24
Link 59: itemNo1=13, itemNo2=17, cost=81
Link 60: itemNo1=13, itemNo2=22, cost=28
Link 61: itemNo1=13, itemNo2=23, cost=85
Link 62: itemNo1=14, itemNo2=1, cost=80
Link 63: itemNo1=14, itemNo2=4, cost=9
Link 64: itemNo1=14, itemNo2=6, cost=44
Link 65: itemNo1=14, itemNo2=8, cost=22
Link 66: itemNo1=14, itemNo2=10, cost=38
Link 67: itemNo1=14, itemNo2=15, cost=69
Link 68: itemNo1=14, itemNo2=16, cost=63
Link 69: itemNo1=14, itemNo2=19, cost=83
Link 70: itemNo1=14, itemNo2=20, cost=79
Link 71: itemNo1=15, itemNo2=4, cost=34
Link 72: itemNo1=15, itemNo2=7, cost=15
Link 73: itemNo1=15, itemNo2=12, cost=17
Link 74: itemNo1=15, itemNo2=19, cost=40
Link 75: itemNo1=15, itemNo2=20, cost=46
Link 76: itemNo1=15, itemNo2=22, cost=33
Link 77: itemNo1=16, itemNo2=1, cost=75
Link 78: itemNo1=16, itemNo2=3, cost=84
Link 79: itemNo1=16, itemNo2=4, cost=63
Link 80: itemNo1=16, itemNo2=19, cost=69
Link 81: itemNo1=16, itemNo2=21, cost=35
Link 82: itemNo1=16, itemNo2=24, cost=71
Link 83: itemNo1=17, itemNo2=3, cost=35
