instance=12,n=25,m=50,d=5,type=B2
BinType:1, cost=706
    no=1, value=242
    no=2, value=111
    no=3, value=410
    no=4, value=146
    no=5, value=154
BinType:2, cost=717
    no=1, value=179
    no=2, value=165
    no=3, value=262
    no=4, value=324
    no=5, value=134
BinType:3, cost=723
    no=1, value=251
    no=2, value=371
    no=3, value=170
    no=4, value=148
    no=5, value=150
BinType:4, cost=731
    no=1, value=115
    no=2, value=287
    no=3, value=187
    no=4, value=386
    no=5, value=152
BinType:5, cost=737
    no=1, value=138
    no=2, value=492
    no=3, value=303
    no=4, value=122
    no=5, value=134
BinType:6, cost=752
    no=1, value=206
    no=2, value=177
    no=3, value=218
    no=4, value=126
    no=5, value=474
BinType:7, cost=761
    no=1, value=322
    no=2, value=134
    no=3, value=328
    no=4, value=168
    no=5, value=248
BinType:8, cost=765
    no=1, value=341
    no=2, value=199
    no=3, value=295
    no=4, value=257
    no=5, value=120
BinType:9, cost=775
    no=1, value=146
    no=2, value=467
    no=3, value=230
    no=4, value=252
    no=5, value=170
BinType:10, cost=776
    no=1, value=105
    no=2, value=375
    no=3, value=144
    no=4, value=301
    no=5, value=356
BinType:11, cost=784
    no=1, value=182
    no=2, value=346
    no=3, value=315
    no=4, value=245
    no=5, value=173
BinType:12, cost=794
    no=1, value=468
    no=2, value=152
    no=3, value=190
    no=4, value=236
    no=5, value=274
BinType:13, cost=795
    no=1, value=361
    no=2, value=476
    no=3, value=210
    no=4, value=148
    no=5, value=150
BinType:14, cost=801
    no=1, value=112
    no=2, value=349
    no=3, value=175
    no=4, value=296
    no=5, value=426
BinType:15, cost=806
    no=1, value=282
    no=2, value=167
    no=3, value=292
    no=4, value=223
    no=5, value=368
BinType:16, cost=807
    no=1, value=176
    no=2, value=231
    no=3, value=209
    no=4, value=383
    no=5, value=345
BinType:17, cost=814
    no=1, value=226
    no=2, value=255
    no=3, value=278
    no=4, value=412
    no=5, value=189
BinType:18, cost=818
    no=1, value=279
    no=2, value=129
    no=3, value=456
    no=4, value=120
    no=5, value=470
BinType:19, cost=819
    no=1, value=200
    no=2, value=186
    no=3, value=372
    no=4, value=332
    no=5, value=284
BinType:20, cost=821
    no=1, value=352
    no=2, value=343
    no=3, value=154
    no=4, value=339
    no=5, value=199
BinType:21, cost=827
    no=1, value=271
    no=2, value=163
    no=3, value=402
    no=4, value=183
    no=5, value=407
BinType:22, cost=833
    no=1, value=295
    no=2, value=165
    no=3, value=350
    no=4, value=370
    no=5, value=242
BinType:23, cost=834
    no=1, value=335
    no=2, value=133
    no=3, value=338
    no=4, value=173
    no=5, value=495
BinType:24, cost=835
    no=1, value=368
    no=2, value=275
    no=3, value=209
    no=4, value=171
    no=5, value=422
BinType:25, cost=836
    no=1, value=396
    no=2, value=303
    no=3, value=406
    no=4, value=181
    no=5, value=167
BinType:26, cost=837
    no=1, value=295
    no=2, value=408
    no=3, value=401
    no=4, value=270
    no=5, value=104
BinType:27, cost=838
    no=1, value=495
    no=2, value=238
    no=3, value=207
    no=4, value=378
    no=5, value=157
BinType:28, cost=846
    no=1, value=317
    no=2, value=457
    no=3, value=121
    no=4, value=363
    no=5, value=242
BinType:29, cost=849
    no=1, value=264
    no=2, value=114
    no=3, value=343
    no=4, value=303
    no=5, value=497
BinType:30, cost=852
    no=1, value=367
    no=2, value=197
    no=3, value=256
    no=4, value=480
    no=5, value=203
BinType:31, cost=853
    no=1, value=182
    no=2, value=494
    no=3, value=208
    no=4, value=428
    no=5, value=219
BinType:32, cost=855
    no=1, value=355
    no=2, value=322
    no=3, value=405
    no=4, value=209
    no=5, value=205
BinType:33, cost=856
    no=1, value=381
    no=2, value=339
    no=3, value=277
    no=4, value=286
    no=5, value=203
BinType:34, cost=858
    no=1, value=336
    no=2, value=185
    no=3, value=450
    no=4, value=277
    no=5, value=262
BinType:35, cost=859
    no=1, value=247
    no=2, value=151
    no=3, value=406
    no=4, value=310
    no=5, value=415
BinType:36, cost=863
    no=1, value=410
    no=2, value=424
    no=3, value=341
    no=4, value=208
    no=5, value=164
BinType:37, cost=867
    no=1, value=309
    no=2, value=278
    no=3, value=420
    no=4, value=198
    no=5, value=332
BinType:38, cost=882
    no=1, value=447
    no=2, value=189
    no=3, value=293
    no=4, value=285
    no=5, value=384
BinType:39, cost=891
    no=1, value=305
    no=2, value=415
    no=3, value=309
    no=4, value=306
    no=5, value=273
BinType:40, cost=897
    no=1, value=317
    no=2, value=475
    no=3, value=428
    no=4, value=107
    no=5, value=376
BinType:41, cost=899
    no=1, value=431
    no=2, value=438
    no=3, value=190
    no=4, value=326
    no=5, value=276
BinType:42, cost=907
    no=1, value=390
    no=2, value=135
    no=3, value=397
    no=4, value=445
    no=5, value=345
BinType:43, cost=907
    no=1, value=368
    no=2, value=246
    no=3, value=453
    no=4, value=462
    no=5, value=182
BinType:44, cost=914
    no=1, value=455
    no=2, value=313
    no=3, value=224
    no=4, value=242
    no=5, value=490
BinType:45, cost=926
    no=1, value=386
    no=2, value=293
    no=3, value=371
    no=4, value=449
    no=5, value=245
BinType:46, cost=928
    no=1, value=483
    no=2, value=131
    no=3, value=344
    no=4, value=387
    no=5, value=460
BinType:47, cost=958
    no=1, value=470
    no=2, value=429
    no=3, value=185
    no=4, value=372
    no=5, value=432
BinType:48, cost=961
    no=1, value=488
    no=2, value=189
    no=3, value=351
    no=4, value=451
    no=5, value=423
BinType:49, cost=992
    no=1, value=309
    no=2, value=379
    no=3, value=493
    no=4, value=345
    no=5, value=468
BinType:50, cost=998
    no=1, value=468
    no=2, value=436
    no=3, value=492
