instance=18,n=25,m=50,d=5,type=B3
BinType:1, cost=1612
    no=1, value=179
    no=2, value=165
    no=3, value=262
    no=4, value=324
    no=5, value=134
BinType:2, cost=1689
    no=1, value=242
    no=2, value=111
    no=3, value=410
    no=4, value=146
    no=5, value=154
BinType:3, cost=1695
    no=1, value=251
    no=2, value=371
    no=3, value=170
    no=4, value=148
    no=5, value=150
BinType:4, cost=1809
    no=1, value=115
    no=2, value=287
    no=3, value=187
    no=4, value=386
    no=5, value=152
BinType:5, cost=1933
    no=1, value=322
    no=2, value=134
    no=3, value=328
    no=4, value=168
    no=5, value=248
BinType:6, cost=1958
    no=1, value=341
    no=2, value=199
    no=3, value=295
    no=4, value=257
    no=5, value=120
BinType:7, cost=2023
    no=1, value=206
    no=2, value=177
    no=3, value=218
    no=4, value=126
    no=5, value=474
BinType:8, cost=2057
    no=1, value=182
    no=2, value=346
    no=3, value=315
    no=4, value=245
    no=5, value=173
BinType:9, cost=2069
    no=1, value=138
    no=2, value=492
    no=3, value=303
    no=4, value=122
    no=5, value=134
BinType:10, cost=2154
    no=1, value=146
    no=2, value=467
    no=3, value=230
    no=4, value=252
    no=5, value=170
BinType:11, cost=2198
    no=1, value=105
    no=2, value=375
    no=3, value=144
    no=4, value=301
    no=5, value=356
BinType:12, cost=2224
    no=1, value=282
    no=2, value=167
    no=3, value=292
    no=4, value=223
    no=5, value=368
BinType:13, cost=2275
    no=1, value=468
    no=2, value=152
    no=3, value=190
    no=4, value=236
    no=5, value=274
BinType:14, cost=2275
    no=1, value=176
    no=2, value=231
    no=3, value=209
    no=4, value=383
    no=5, value=345
BinType:15, cost=2304
    no=1, value=226
    no=2, value=255
    no=3, value=278
    no=4, value=412
    no=5, value=189
BinType:16, cost=2334
    no=1, value=200
    no=2, value=186
    no=3, value=372
    no=4, value=332
    no=5, value=284
BinType:17, cost=2388
    no=1, value=112
    no=2, value=349
    no=3, value=175
    no=4, value=296
    no=5, value=426
BinType:18, cost=2390
    no=1, value=352
    no=2, value=343
    no=3, value=154
    no=4, value=339
    no=5, value=199
BinType:19, cost=2390
    no=1, value=361
    no=2, value=476
    no=3, value=210
    no=4, value=148
    no=5, value=150
BinType:20, cost=2458
    no=1, value=295
    no=2, value=165
    no=3, value=350
    no=4, value=370
    no=5, value=242
BinType:21, cost=2528
    no=1, value=271
    no=2, value=163
    no=3, value=402
    no=4, value=183
    no=5, value=407
BinType:22, cost=2552
    no=1, value=368
    no=2, value=275
    no=3, value=209
    no=4, value=171
    no=5, value=422
BinType:23, cost=2591
    no=1, value=396
    no=2, value=303
    no=3, value=406
    no=4, value=181
    no=5, value=167
BinType:24, cost=2600
    no=1, value=381
    no=2, value=339
    no=3, value=277
    no=4, value=286
    no=5, value=203
BinType:25, cost=2655
    no=1, value=355
    no=2, value=322
    no=3, value=405
    no=4, value=209
    no=5, value=205
BinType:26, cost=2682
    no=1, value=295
    no=2, value=408
    no=3, value=401
    no=4, value=270
    no=5, value=104
BinType:27, cost=2695
    no=1, value=495
    no=2, value=238
    no=3, value=207
    no=4, value=378
    no=5, value=157
BinType:28, cost=2705
    no=1, value=336
    no=2, value=185
    no=3, value=450
    no=4, value=277
    no=5, value=262
BinType:29, cost=2715
    no=1, value=335
    no=2, value=133
    no=3, value=338
    no=4, value=173
    no=5, value=495
BinType:30, cost=2728
    no=1, value=367
    no=2, value=197
    no=3, value=256
    no=4, value=480
    no=5, value=203
BinType:31, cost=2734
    no=1, value=279
    no=2, value=129
    no=3, value=456
    no=4, value=120
    no=5, value=470
BinType:32, cost=2740
    no=1, value=317
    no=2, value=457
    no=3, value=121
    no=4, value=363
    no=5, value=242
BinType:33, cost=2748
    no=1, value=309
    no=2, value=278
    no=3, value=420
    no=4, value=198
    no=5, value=332
BinType:34, cost=2781
    no=1, value=247
    no=2, value=151
