instance=15,n=25,m=50,d=3,type=B3
BinType:1, cost=851
    no=1, value=206
    no=2, value=177
    no=3, value=218
BinType:2, cost=864
    no=1, value=115
    no=2, value=287
    no=3, value=187
BinType:3, cost=874
    no=1, value=179
    no=2, value=165
    no=3, value=262
BinType:4, cost=886
    no=1, value=176
    no=2, value=231
    no=3, value=209
BinType:5, cost=1000
    no=1, value=112
    no=2, value=349
    no=3, value=175
BinType:6, cost=1005
    no=1, value=105
    no=2, value=375
    no=3, value=144
BinType:7, cost=1184
    no=1, value=264
    no=2, value=114
    no=3, value=343
BinType:8, cost=1186
    no=1, value=282
    no=2, value=167
    no=3, value=292
BinType:9, cost=1209
    no=1, value=226
    no=2, value=255
    no=3, value=278
BinType:10, cost=1252
    no=1, value=200
    no=2, value=186
    no=3, value=372
BinType:11, cost=1322
    no=1, value=242
    no=2, value=111
    no=3, value=410
BinType:12, cost=1326
    no=1, value=322
    no=2, value=134
    no=3, value=328
BinType:13, cost=1332
    no=1, value=251
    no=2, value=371
    no=3, value=170
BinType:14, cost=1371
    no=1, value=295
    no=2, value=165
    no=3, value=350
BinType:15, cost=1387
    no=1, value=335
    no=2, value=133
    no=3, value=338
BinType:16, cost=1388
    no=1, value=367
    no=2, value=197
    no=3, value=256
BinType:17, cost=1391
    no=1, value=247
    no=2, value=151
    no=3, value=406
BinType:18, cost=1415
    no=1, value=341
    no=2, value=199
    no=3, value=295
BinType:19, cost=1447
    no=1, value=182
    no=2, value=346
    no=3, value=315
BinType:20, cost=1460
    no=1, value=468
    no=2, value=152
    no=3, value=190
BinType:21, cost=1460
    no=1, value=271
    no=2, value=163
    no=3, value=402
BinType:22, cost=1463
    no=1, value=368
    no=2, value=275
    no=3, value=209
BinType:23, cost=1486
    no=1, value=352
    no=2, value=343
    no=3, value=154
BinType:24, cost=1533
    no=1, value=146
    no=2, value=467
    no=3, value=230
BinType:25, cost=1585
    no=1, value=279
    no=2, value=129
    no=3, value=456
BinType:26, cost=1641
    no=1, value=182
    no=2, value=494
    no=3, value=208
BinType:27, cost=1673
    no=1, value=317
    no=2, value=457
    no=3, value=121
BinType:28, cost=1705
    no=1, value=447
    no=2, value=189
    no=3, value=293
BinType:29, cost=1717
    no=1, value=390
    no=2, value=135
    no=3, value=397
BinType:30, cost=1765
    no=1, value=495
    no=2, value=238
    no=3, value=207
BinType:31, cost=1780
    no=1, value=138
    no=2, value=492
    no=3, value=303
BinType:32, cost=1820
    no=1, value=336
    no=2, value=185
    no=3, value=450
BinType:33, cost=1828
    no=1, value=381
    no=2, value=339
    no=3, value=277
BinType:34, cost=1848
    no=1, value=483
    no=2, value=131
    no=3, value=344
BinType:35, cost=1858
    no=1, value=455
    no=2, value=313
    no=3, value=224
BinType:36, cost=1866
    no=1, value=309
    no=2, value=278
    no=3, value=420
BinType:37, cost=1920
    no=1, value=305
    no=2, value=415
    no=3, value=309
BinType:38, cost=1973
    no=1, value=386
    no=2, value=293
    no=3, value=371
BinType:39, cost=1994
    no=1, value=488
    no=2, value=189
    no=3, value=351
BinType:40, cost=2027
    no=1, value=361
    no=2, value=476
    no=3, value=210
BinType:41, cost=2054
    no=1, value=368
    no=2, value=246
    no=3, value=453
BinType:42, cost=2060
    no=1, value=355
    no=2, value=322
    no=3, value=405
BinType:43, cost=2071
    no=1, value=431
    no=2, value=438
    no=3, value=190
BinType:44, cost=2133
    no=1, value=396
    no=2, value=303
    no=3, value=406
BinType:45, cost=2133
    no=1, value=295
    no=2, value=408
    no=3, value=401
BinType:46, cost=2157
    no=1, value=470
    no=2, value=429
    no=3, value=185
BinType:47, cost=2332
    no=1, value=410
    no=2, value=424
    no=3, value=341
BinType:48, cost=2374
    no=1, value=309
    no=2, value=379
    no=3, value=493
BinType:49, cost=2484
    no=1, value=317
    no=2, value=475
    no=3, value=428
BinType:50, cost=3013
    no=1, value=468
    no=2, value=436
    no=3, value=492
Item: no=1
   no=1, value=72
   no=2, value=18
   no=3, value=42
Item: no=2
   no=1, value=22
   no=2, value=15
   no=3, value=93
Item: no=3
   no=1, value=49
   no=2, value=46
   no=3, value=20
Item: no=4
   no=1, value=5
   no=2, value=20
   no=3, value=6
Item: no=5
   no=1, value=43
   no=2, value=71
   no=3, value=22
Item: no=6
   no=1, value=86
   no=2, value=75
   no=3, value=9
Item: no=7
   no=1, value=96
   no=2, value=30
   no=3, value=97
Item: no=8
   no=1, value=45
   no=2, value=29
   no=3, value=27
Item: no=9
   no=1, value=15
   no=2, value=4
   no=3, value=60
Item: no=10
   no=1, value=56
   no=2, value=13
   no=3, value=45
Item: no=11
   no=1, value=66
   no=2, value=29
   no=3, value=66
Item: no=12
   no=1, value=68
   no=2, value=98
   no=3, value=59
Item: no=13
   no=1, value=68
   no=2, value=91
   no=3, value=36
Item: no=14
   no=1, value=55
   no=2, value=3
   no=3, value=94
Item: no=15
   no=1, value=99
   no=2, value=14
   no=3, value=52
Item: no=16
   no=1, value=40
   no=2, value=56
   no=3, value=35
Item: no=17
   no=1, value=93
   no=2, value=81
   no=3, value=34
Item: no=18
   no=1, value=89
   no=2, value=7
   no=3, value=67
Item: no=19
   no=1, value=88
   no=2, value=70
   no=3, value=91
Item: no=20
   no=1, value=33
   no=2, value=45
   no=3, value=95
Item: no=21
   no=1, value=89
   no=2, value=44
   no=3, value=19
Item: no=22
   no=1, value=46
   no=2, value=6
   no=3, value=14
Item: no=23
   no=1, value=46
   no=2, value=90
   no=3, value=60
Item: no=24
   no=1, value=88
   no=2, value=40
   no=3, value=45
Item: no=25
   no=1, value=58
   no=2, value=26
   no=3, value=75
//////////////////////////////////////////////////
Links between items
Link 1: itemNo1=1, itemNo2=3, cost=22
Link 2: itemNo1=1, itemNo2=4, cost=42
Link 3: itemNo1=1, itemNo2=5, cost=89
Link 4: itemNo1=1, itemNo2=11, cost=24
Link 5: itemNo1=1, itemNo2=14, cost=80
Link 6: itemNo1=1, itemNo2=16, cost=75
Link 7: itemNo1=1, itemNo2=23, cost=93
Link 8: itemNo1=2, itemNo2=3, cost=91
Link 9: itemNo1=2, itemNo2=8, cost=78
Link 10: itemNo1=2, itemNo2=9, cost=15
Link 11: itemNo1=2, itemNo2=10, cost=21
Link 12: itemNo1=2, itemNo2=19, cost=13
Link 13: itemNo1=2, itemNo2=20, cost=11
Link 14: itemNo1=2, itemNo2=22, cost=94
Link 15: itemNo1=2, itemNo2=23, cost=87
Link 16: itemNo1=2, itemNo2=25, cost=91
Link 17: itemNo1=3, itemNo2=8, cost=51
Link 18: itemNo1=3, itemNo2=11, cost=95
Link 19: itemNo1=3, itemNo2=12, cost=1
Link 20: itemNo1=3, itemNo2=16, cost=84
Link 21: itemNo1=3, itemNo2=17, cost=35
Link 22: itemNo1=3, itemNo2=18, cost=43
Link 23: itemNo1=3, itemNo2=19, cost=5
Link 24: itemNo1=3, itemNo2=21, cost=63
Link 25: itemNo1=4, itemNo2=6, cost=14
Link 26: itemNo1=4, itemNo2=7, cost=40
Link 27: itemNo1=4, itemNo2=8, cost=72
Link 28: itemNo1=4, itemNo2=10, cost=49
Link 29: itemNo1=4, itemNo2=14, cost=9
Link 30: itemNo1=4, itemNo2=15, cost=34
Link 31: itemNo1=4, itemNo2=16, cost=63
Link 32: itemNo1=4, itemNo2=18, cost=94
Link 33: itemNo1=4, itemNo2=20, cost=48
Link 34: itemNo1=5, itemNo2=11, cost=15
Link 35: itemNo1=5, itemNo2=13, cost=30
Link 36: itemNo1=5, itemNo2=15, cost=35
Link 37: itemNo1=5, itemNo2=17, cost=73
